feature,pearson_correlation,absolute_correlation
active_container_count,0.7946206241539664,0.7946206241539664
share_stack_tier_1,-0.5985512221621067,0.5985512221621067
mean_stack_tier,0.5655164798861761,0.5655164798861761
share_stack_tier_3,0.48705892085897545,0.48705892085897545
share_stack_tier_2,0.4645120150997797,0.4645120150997797
mean_ambient_minus_setpoint_c,0.4050469530762251,0.4050469530762251
mean_temperature_ambient_c,0.38889112703717876,0.38889112703717876
month,0.3778534729362221,0.3778534729362221
mean_return_minus_supply_c,0.3761821474609872,0.3761821474609872
day_of_year,0.3734791015027584,0.3734791015027584
share_hardware_decosiiih,0.3436476780284267,0.3436476780284267
share_hardware_ml5,0.3296854788073369,0.3296854788073369
dow_sin,-0.28264010336983286,0.28264010336983286
share_hardware_ml2i,-0.26502050704966207,0.26502050704966207
share_hardware_ml3,-0.2562453100559192,0.2562453100559192
is_weekend,0.22598915297012429,0.22598915297012429
share_hardware_scc6,0.22053998072058442,0.22053998072058442
mean_temperature_supply_c,-0.21469946034824958,0.21469946034824958
mean_temperature_setpoint_c,-0.20019088037423577,0.20019088037423577
day_of_week,0.19287457963599966,0.19287457963599966
share_hardware_decosva,-0.1836218877647765,0.1836218877647765
mean_temperature_return_c,-0.1634112539432568,0.1634112539432568
share_hardware_decosiiif,-0.14889631273981205,0.14889631273981205
share_hardware_mp4000,-0.12799503600093087,0.12799503600093087
share_hardware_mpc2000,-0.12735503129573822,0.12735503129573822
hour_cos,-0.11564407533635067,0.11564407533635067
share_hardware_mp3000a,-0.11433973285737825,0.11433973285737825
hour_sin,-0.09525056604608433,0.09525056604608433
share_hardware_decosiiig,0.08774486402749267,0.08774486402749267
share_hardware_decosiiic,-0.08732289802238324,0.08732289802238324
share_container_size_20,-0.08696531873091794,0.08696531873091794
share_container_size_40,0.08423720185722239,0.08423720185722239
share_hardware_rccu5,-0.08342397906855702,0.08342397906855702
share_hardware_decosvb,0.07722929413351266,0.07722929413351266
hour_of_day,0.07388493037695593,0.07388493037695593
share_hardware_decosiiie,-0.07073015191288368,0.07073015191288368
share_hardware_decosiiij,-0.05430896877901546,0.05430896877901546
share_hardware_decosiiid1,-0.04601948279971236,0.04601948279971236
share_container_size_null,0.03951902149497392,0.03951902149497392
share_hardware_decosiiid,0.037402685407473234,0.037402685407473234
dow_cos,0.03724956524397843,0.03724956524397843
share_container_size_45,-0.012747869234337496,0.012747869234337496
share_hardware_mpc2000id,-0.0032831594502345436,0.0032831594502345436
