feature,pearson_correlation,absolute_correlation
weather_temperature_vc_halle3_c,0.5566686064622504,0.5566686064622504
weather_temperature_mean_c,0.3767011984286726,0.3767011984286726
weather_temperature_zentralgate_c,0.23077295592486566,0.23077295592486566
weather_wind_direction_vc_halle3_cos,-0.21038461409805553,0.21038461409805553
weather_wind_direction_mean_cos,-0.19250433485658125,0.19250433485658125
weather_wind_direction_zentralgate_cos,-0.17233935579526832,0.17233935579526832
weather_wind_direction_zentralgate_consistency,-0.09789250595973266,0.09789250595973266
weather_wind_speed_vc_halle3,-0.08073257728222046,0.08073257728222046
weather_wind_direction_vc_halle3_consistency,0.06948183751409522,0.06948183751409522
weather_wind_direction_mean_consistency,-0.03887037764929543,0.03887037764929543
weather_wind_direction_zentralgate_sin,0.016155988597865194,0.016155988597865194
weather_wind_direction_vc_halle3_sin,-0.012208831686776896,0.012208831686776896
weather_wind_speed_spread,-0.002998194784769626,0.002998194784769626
weather_wind_speed_mean,-0.0025186929065855357,0.0025186929065855357
weather_wind_direction_mean_sin,0.0019780743819740832,0.0019780743819740832
weather_temperature_spread_c,0.0016801384768281562,0.0016801384768281562
weather_wind_speed_zentralgate,-0.0003948792426091477,0.0003948792426091477
