feature,peak_history_window_hours,peak_mean_abs_future_correlation,efficient_history_window_hours,efficient_window_score
weather_temperature_vc_halle3_c,72.0,0.6231453483350088,51.0,0.5922349571704476
weather_temperature_mean_c,72.0,0.6200684085343697,44.0,0.5903481556443233
weather_temperature_zentralgate_c,67.0,0.5744907061474939,46.0,0.5487664808128306
weather_wind_direction_vc_halle3_cos,72.0,0.29259985809396966,60.0,0.27854415708922825
weather_wind_direction_mean_cos,72.0,0.29003287073683837,62.0,0.27614473291553016
weather_wind_direction_zentralgate_cos,72.0,0.2849640368161598,63.0,0.2711528720933187
weather_wind_direction_zentralgate_consistency,40.0,0.26111615632027113,26.0,0.24895083872678425
weather_wind_speed_vc_halle3,71.0,0.22254965861422496,57.0,0.21170812137903203
weather_wind_speed_spread,50.0,0.16865973203634518,43.0,0.16127423156948698
weather_temperature_spread_c,51.0,0.1641884726458701,43.0,0.15676389722225173
weather_wind_speed_zentralgate,49.0,0.15256199149940378,42.0,0.14535667882086556
weather_wind_speed_mean,49.0,0.1375495058958398,42.0,0.13218346803273612
weather_wind_direction_zentralgate_sin,45.0,0.1361449792256819,35.0,0.12949750877898866
weather_wind_direction_vc_halle3_consistency,45.0,0.113778683809317,37.0,0.1083266267177081
weather_wind_direction_mean_sin,45.0,0.11203559196553832,36.0,0.10708617503122995
weather_wind_direction_mean_consistency,52.0,0.10346228212852056,30.0,0.09862781416223025
weather_wind_direction_vc_halle3_sin,48.0,0.08760784751456595,37.0,0.08389897124625449
